Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
HRP,Historical,20,0.0015882001617795183,0.007893552060920236,
ERC,Historical,20,0.0015656239412518147,0.008403468540413093,0.2145161112896034
MVP,GARCH,20,0.0007083858476903959,0.007037821591326429,
HRP,GARCH,20,0.001572971345666252,0.007873498870518391,
ERC,GARCH,20,0.0015550492779927705,0.00838684059051121,0.21444834051202694
MVP,DCC,20,0.0007100493418810139,0.007037787760213165,
HRP,DCC,20,0.001573152898207919,0.007873589944523397,
ERC,DCC,20,0.001555216151300609,0.008387026722012535,0.2144345214562917
Naive,N/A,21,-0.0006380252933582131,0.009088060176256347,
MVP,Historical,21,0.0011324189273791418,0.007083102314562967,
HRP,Historical,21,0.0006677427803793989,0.007879054123876208,
ERC,Historical,21,0.00012619115277923143,0.008401701527153974,6.921366318717308
MVP,GARCH,21,0.0012749547816437445,0.007021609482480291,
HRP,GARCH,21,0.0007129892000403704,0.00783175631469552,
ERC,GARCH,21,0.0001491224632244048,0.008357762152234402,5.280892238653722
MVP,DCC,21,0.0012745313028439398,0.007021477974801383,
HRP,DCC,21,0.0007129540153962832,0.007831654668782292,
ERC,DCC,21,0.00014894409709254042,0.008357686412700543,5.290559738287144
Naive,N/A,22,0.005395637693937028,0.009071852167906005,
MVP,Historical,22,0.005742278423548353,0.0070732524815240025,
HRP,Historical,22,0.005687205189110589,0.007866030054070773,
ERC,Historical,22,0.00554647539231512,0.008387006619558594,0.0949291767126497
MVP,GARCH,22,0.005743942967018967,0.00701974917345772,
HRP,GARCH,22,0.005611920570585571,0.007840308396667937,
ERC,GARCH,22,0.005546218752485288,0.008352263526004721,0.09489240877460235
MVP,DCC,22,0.0057440805971853415,0.0070195615546042875,
HRP,DCC,22,0.005612005318329061,0.007840093778930132,
ERC,DCC,22,0.005546311328930464,0.008352022141165951,0.09488928156760455
Naive,N/A,23,0.017034287162831507,0.009072871329493868,
MVP,Historical,23,0.0058564506119713755,0.007074287710685138,
HRP,Historical,23,0.01331735278037871,0.00788001054952931,
ERC,Historical,23,0.015221070297311456,0.008388567632109399,0.048051405571550944
MVP,GARCH,23,0.005423283990890537,0.007032530127498389,
HRP,GARCH,23,0.013181407967407521,0.007849883237222069,
ERC,GARCH,23,0.015159055714889513,0.008359322464553037,0.04812241161506287
MVP,DCC,23,0.0054250330130500846,0.007032513635717588,
HRP,DCC,23,0.013181359703387185,0.007849719874209368,
ERC,DCC,23,0.015159338042454173,0.008359144942587687,0.0481244103075833
Naive,N/A,24,0.005902000157850251,0.009076844630332455,
MVP,Historical,24,0.005059569595759816,0.007072547039215736,
HRP,Historical,24,0.004505857350151743,0.007879466845656866,
ERC,Historical,24,0.005381379861562063,0.008390298245460498,0.10521164824751707
MVP,GARCH,24,0.005157312922805524,0.007025419434624883,
HRP,GARCH,24,0.004574673075649516,0.007858318005193996,
ERC,GARCH,24,0.005406006078449099,0.008384029686457397,0.10588807165789467
MVP,DCC,24,0.005156994065061982,0.007025306352165857,
HRP,DCC,24,0.004574339749900069,0.007858459982085906,
ERC,DCC,24,0.0054059387461391495,0.00838427705617648,0.10589592827573643
Naive,N/A,25,0.009627414227781239,0.00907138899436803,
MVP,Historical,25,0.007676053736667354,0.007063051147726687,
HRP,Historical,25,0.010143245422294278,0.00786810649841069,
ERC,Historical,25,0.010165596874081917,0.00838096273634982,0.06468673510549287
MVP,GARCH,25,0.007769107537835662,0.007027665152479082,
HRP,GARCH,25,0.010152907080944518,0.007844277419477134,
ERC,GARCH,25,0.010172029179451147,0.008358234457397456,0.06469283967513433
MVP,DCC,25,0.007771405280508903,0.007027415666139133,
HRP,DCC,25,0.010153073000664037,0.007844086866263367,
ERC,DCC,25,0.010172273433624923,0.008358101761841208,0.0646909852882935
Naive,N/A,26,0.0012873430944884134,0.00907552811598712,
MVP,Historical,26,1.953643005814243e-05,0.007065967501480482,
HRP,Historical,26,0.0010445074020686285,0.007848485509157246,
ERC,Historical,26,0.0009365375034411372,0.008387011252009665,0.643186837915504
MVP,GARCH,26,-3.844745785319681e-05,0.0070538077173434455,
HRP,GARCH,26,0.0010299174772543385,0.007836731281636016,
ERC,GARCH,26,0.0009240662524214738,0.00836818103556882,0.6545415117939333
MVP,DCC,26,-4.279480550639647e-05,0.007053527346817577,
HRP,DCC,26,0.0010299931469517354,0.007836909107308623,
ERC,DCC,26,0.0009239887354857146,0.008368285228894795,0.6546441535238681
Naive,N/A,27,0.00866276911902264,0.00907269370046999,
MVP,Historical,27,0.0063825208433494485,0.007061632364826965,
HRP,Historical,27,0.007714337909114244,0.007870900998668192,
ERC,Historical,27,0.008093742792270486,0.008383672504491752,0.08775955327878605
MVP,GARCH,27,0.006536464522666874,0.007007363924038104,
HRP,GARCH,27,0.0077112472441145385,0.007825620910667993,
ERC,GARCH,27,0.008085224545895997,0.008340990700885955,0.08737285375481102
MVP,DCC,27,0.006535733115154763,0.007007141870448175,
HRP,DCC,27,0.00771122571259375,0.007825385768856802,
ERC,DCC,27,0.008085269509063409,0.008340758015529814,0.08737084180887021
Naive,N/A,28,-0.0037492589681291655,0.009072307574518807,
MVP,Historical,28,-0.0016952862317461959,0.0070502088013567644,
HRP,Historical,28,-0.0027974554205025814,0.007865616434518661,
ERC,Historical,28,-0.0030312017197333674,0.008379846948431262,0.1227621650908561
MVP,GARCH,28,-0.0015668435827979055,0.007007422125101866,
HRP,GARCH,28,-0.0027551274674691983,0.00783091768903166,
ERC,GARCH,28,-0.003010248856571196,0.008345293241266712,0.1232857733042407
MVP,DCC,28,-0.0015657445221566313,0.007007305724776091,
HRP,DCC,28,-0.002755203343822288,0.007830831647670343,
ERC,DCC,28,-0.003010251480793591,0.008345097044631196,0.12327857366308134
Naive,N/A,29,-0.0036177194242414945,0.009069662538564036,
MVP,Historical,29,-0.0005250235727231045,0.007042656470029557,
HRP,Historical,29,-0.003316267310704446,0.007855439709347082,
ERC,Historical,29,-0.0030848833916901075,0.008375509954143757,0.22998886451271133
MVP,GARCH,29,-0.00028390269746969565,0.007000542152177551,
HRP,GARCH,29,-0.0030912163799886594,0.007827278074689897,
ERC,GARCH,29,-0.003048622314319127,0.008342143311335891,0.23256663714531622
MVP,DCC,29,-0.0002845699002362867,0.007000463384670861,
HRP,DCC,29,-0.003192385147118504,0.007801095364990085,
ERC,DCC,29,-0.0030487383645404487,0.008342009599191751,0.23255766890620644
Naive,N/A,30,-0.01358948229712953,0.009059462234602557,
MVP,Historical,30,-0.017025222483236124,0.007038131191724356,
HRP,Historical,30,-0.013557116579590245,0.007878915483124789,
ERC,Historical,30,-0.013343041476753581,0.008369151442522272,0.041408664789990696
MVP,GARCH,30,-0.016723253533209692,0.0069754339194882,
HRP,GARCH,30,-0.013552421705332995,0.007820185429932205,
ERC,GARCH,30,-0.01334249465131343,0.008316018272302234,0.04142430157793156
MVP,DCC,30,-0.016721823142190506,0.006974964290111787,
HRP,DCC,30,-0.013551991131507068,0.007819809671172849,
ERC,DCC,30,-0.013342182697808624,0.00831553228428737,0.041425188465066466
Naive,N/A,31,0.01854393885321648,0.009069695648243403,
MVP,Historical,31,0.009533276493289389,0.007058077973132095,
HRP,Historical,31,0.016475025313511082,0.007892406091722162,
ERC,Historical,31,0.017417601971053465,0.008381156310815346,0.02889839787935886
MVP,GARCH,31,0.009689980589999925,0.007015438719177709,
HRP,GARCH,31,0.01636359287109701,0.007870989540354109,
ERC,GARCH,31,0.01736752602048819,0.008360182868540535,0.02848341781363379
MVP,DCC,31,0.009694238043892911,0.0070162905951993895,
HRP,DCC,31,0.016364152793830078,0.007871550169145777,
ERC,DCC,31,0.01736770367685625,0.00836067140972725,0.028482514947350275
Naive,N/A,32,0.027845861258799065,0.009086372250068338,
