Model,Covariance Type,Window Index,Mean Return,Forecasted Std
MVP,DCC,19,2.327802231384272e-05,0.006626920568621875
HRP,DCC,19,-0.0010714753099069167,0.009114956821091638
ERC,DCC,19,-0.0011919974013997043,0.009551096529308826
Naive,N/A,20,0.0018395568722686874,0.015380254652690212
MVP,Historical,20,0.0005491698832027098,0.008254710042563972
HRP,Historical,20,0.0013136484665557467,0.012304154731016466
ERC,Historical,20,0.0015227350388948054,0.013648513232932735
MVP,GARCH,20,0.001429642637523315,0.006479004099711857
HRP,GARCH,20,0.0014029971746364763,0.009245080406637657
ERC,GARCH,20,0.0015502148176948086,0.00971817870083939
MVP,DCC,20,0.0012132253141236954,0.006318308044357403
HRP,DCC,20,0.0014044331693687264,0.008669815287456605
ERC,DCC,20,0.0015260489859619186,0.009122356411399744
Naive,N/A,21,-0.0017597151252780913,0.015377193158421194
MVP,Historical,21,-0.001926556483421806,0.008259062546894081
HRP,Historical,21,-0.001962137332165195,0.012318739199767071
ERC,Historical,21,-0.0017865186999699184,0.013646639590750962
MVP,GARCH,21,-0.0022484342720559642,0.0058309949532192856
HRP,GARCH,21,-0.0018701360128194158,0.008289735137534466
ERC,GARCH,21,-0.0017805758760269519,0.008855476347710655
MVP,DCC,21,-0.001550997077852515,0.005611114952923666
HRP,DCC,21,-0.0017957380881463332,0.007816165563116397
ERC,DCC,21,-0.0017567352221582989,0.00830000951858569
Naive,N/A,22,0.002136579147320611,0.015377755373389503
MVP,Historical,22,0.0020893726310014433,0.00825442748301066
HRP,Historical,22,0.0020430864773430903,0.012354170126620804
ERC,Historical,22,0.002035037849021965,0.013650700116119203
MVP,GARCH,22,0.0022171200085205336,0.005980288194622106
HRP,GARCH,22,0.002134487037949675,0.00888173534677376
ERC,GARCH,22,0.0020788256883605147,0.009437768669625307
MVP,DCC,22,0.0020819862599778644,0.005857293683879491
HRP,DCC,22,0.0021310509708052155,0.008310374753741941
ERC,DCC,22,0.002049013543458088,0.008836757451885172
Naive,N/A,23,-0.0004462119884227996,0.015376996081332415
MVP,Historical,23,-0.0003029215953930845,0.00826774737209822
HRP,Historical,23,-0.00014162195199000213,0.012368245525898533
ERC,Historical,23,-0.0002461763113988406,0.013653344806592986
MVP,GARCH,23,-0.0004684904337547124,0.005960974837601383
HRP,GARCH,23,-0.0004096041061956912,0.00884648512485333
ERC,GARCH,23,-0.00040307966990913243,0.009326301588509382
MVP,DCC,23,-0.0007351096447360625,0.005771595370902355
HRP,DCC,23,-0.0004793613982497066,0.008323559293506911
ERC,DCC,23,-0.0004112012447976439,0.008733877798819624
Naive,N/A,24,-0.0003311111152815763,0.015374041916402122
MVP,Historical,24,-0.0023399905745802403,0.008262076227771482
HRP,Historical,24,-0.0008570904184544255,0.012304601705253552
ERC,Historical,24,-0.0006743139468397853,0.013650177461948363
MVP,GARCH,24,-0.0010395835756336783,0.0058350563930780214
HRP,GARCH,24,-0.0005201750180415749,0.008278665912389564
ERC,GARCH,24,-0.0004820135926304158,0.008756690873469248
MVP,DCC,24,-0.0017514648919643738,0.005583398664222005
HRP,DCC,24,-0.0006076204463243055,0.00771221288237347
ERC,DCC,24,-0.0005444773462634937,0.008179774191417154
Naive,N/A,25,0.0002862283242119963,0.015344526351065669
MVP,Historical,25,0.001999287269152763,0.008254376649719893
HRP,Historical,25,0.00068110085903777,0.012288611770327987
ERC,Historical,25,0.0004567628321760236,0.013623264553970458
MVP,GARCH,25,0.0007214727188607003,0.005863479275175518
HRP,GARCH,25,0.0004291049259028699,0.008215621405019517
ERC,GARCH,25,0.0003259209358301261,0.008656965203928406
MVP,DCC,25,0.00041719947058846093,0.005600005550373311
HRP,DCC,25,0.0004525950799203431,0.007715909077330689
ERC,DCC,25,0.00031363892105039636,0.008092554431014934
Naive,N/A,26,-5.568770932446367e-05,0.01535076047920516
MVP,Historical,26,0.0013427039181901968,0.00825435310709151
HRP,Historical,26,0.0004991807999561018,0.012308571544385647
ERC,Historical,26,0.000248739151489695,0.01362876612684269
MVP,GARCH,26,0.0011482460714460538,0.005821498392797393
HRP,GARCH,26,0.00032839266799531975,0.008024014125340366
ERC,GARCH,26,0.00021578433721950452,0.008435815709967185
MVP,DCC,26,0.0010497817417408997,0.0055680466667151225
HRP,DCC,26,0.00043448776433270846,0.007501197258492357
ERC,DCC,26,0.0002305011254761657,0.007882809252489829
Naive,N/A,27,-0.0021616133297519347,0.015323040939960914
MVP,Historical,27,-0.0011506945616251998,0.008256971564058238
HRP,Historical,27,-0.0016557665633942103,0.012293733936909353
