"Date","Naive","MVP Historical","HRP Historical","ERC Historical","MVP GARCH","HRP GARCH","ERC GARCH","MVP DCC","HRP DCC","ERC DCC"
"2002-03-12",0.000232160045118369,0.000528440945449878,0.00133622112611662,0.00115043908473812,0.00200972418427251,0.00201517031260939,0.00152051232911865,0.00183400306792391,0.00202709468861789,0.00155028411353981
"2002-03-13",-0.00865000355168436,-0.00294946464944444,-0.00532706470408307,-0.00726711905259862,-0.00321290994466662,-0.004771827659741,-0.00681333856434312,-0.00255055277913568,-0.00472780886120055,-0.00663991000714768
"2002-03-14",0.00159135288665111,0.00664687108103961,0.00414842948041083,0.00266342370404545,0.00629389405027316,0.00424288136148903,0.00281655283711396,0.00649507455837508,0.00409056496124469,0.00287138182149204
"2002-03-15",0.00973738021691081,0.00367892717079704,0.00695665904914499,0.00858529528277319,0.00504248411353358,0.00776524632253041,0.0089284290950475,0.00526340193992885,0.00784987798523498,0.00895350441900871
"2002-03-18",0.0017823476197066,0.00157658216838726,0.00155877751703361,0.00180997474317787,0.000522237703803421,0.000871075762948263,0.00142129467301533,0.000447650808002701,0.000836773789831033,0.00134813049713804
"2002-03-19",0.00337277915515242,0.00344693336514291,0.00329029165570934,0.00337527266835051,0.00413707485689135,0.00347089957449525,0.00344515200498341,0.00403915674128469,0.00337468795859964,0.00341637108520136
"2002-03-20",-0.0097622212858738,-0.00368104677408091,-0.00657586554715757,-0.00820475215473858,-0.00350743919228634,-0.0068449516870184,-0.00823936178608162,-0.00336676846466005,-0.00722384224792386,-0.0082188105950117
"2002-03-21",0.000845740721770141,0.00763740662109692,0.00385279219624396,0.00241872516277988,0.00828936880146329,0.00407218889332592,0.00250893727421056,0.00845458309494044,0.00331505101143555,0.0024276555912645
"2002-03-22",-0.00248515756140885,0.00303959138597764,9.89004701477918e-05,-0.00149179877683009,0.00380133231290088,0.00020284552692036,-0.00134155346444948,0.00391901085801831,-9.91760470555385e-05,-0.00131228997411495
"2002-03-25",-0.0108612400532581,-0.00405806979453239,-0.00715504431899134,-0.00905985920197262,-0.00396840412140125,-0.00762582768730073,-0.00920459428350866,-0.00395970465003803,-0.00794120432018993,-0.00916022745601274
"2002-03-26",0.00816526777040392,0.00431693818548103,0.006373534571914,0.00747463691023627,0.00681222154747614,0.00736973400362142,0.00782191974413345,0.00664379184703753,0.00768147681473424,0.0078322125149158
"2002-03-27",0.00683838696920196,0.00421227674370698,0.00593132479579889,0.0069286426175365,0.00321019386916777,0.00562491094030045,0.00667036686599532,0.00363792715944043,0.00615084576570187,0.0066758072085896
"2002-03-28",0.0017263567057335,-0.00202876065736378,-6.32955960153898e-05,0.000899869991969056,-0.00214072721797785,6.9765449556012e-05,0.00084655201545606,-0.0017211808075285,0.000383892550669061,0.000867275048420409
"2002-03-29",7.3077086847409e-06,-3.42806105206023e-05,-2.54190682566167e-05,-1.58334365064586e-05,-1.49064288683456e-05,-1.76044641477969e-05,-1.14978932663263e-05,-1.47998150325783e-05,-1.33000329340384e-05,-1.20376092313587e-05
"2002-04-01",-0.0023863790887536,-0.000903905700473531,-0.00213279230825878,-0.00244829639700302,-0.000686057974367117,-0.00231661540005106,-0.00254261484052222,-0.000978997530775061,-0.00274096013459035,-0.00266385895405414
"2002-04-02",-0.0068729078604686,-0.00197132955738706,-0.00360767559675493,-0.00469186189520011,-0.00198546218007683,-0.00393581559339428,-0.00488432469958749,-0.00231693974522572,-0.00415262050381349,-0.00493097125233564
"2002-04-03",-0.00899802739899091,-0.00434066163158694,-0.0067584859834713,-0.00832848890087904,-0.00496787092414216,-0.00694042671271581,-0.00824432277562499,-0.00467877885071383,-0.00693829654325978,-0.0081622148715478
"2002-04-04",0.00271875373502156,0.00500538544723492,0.00283034542093606,0.00215491102330341,0.00564311387204321,0.00271093669754883,0.00220382352212166,0.00589801419242455,0.00248952672763005,0.00230382138247118
"2002-04-05",0.000689815087720327,0.00196649976468739,0.00110849899978448,0.000602353407470226,0.00138560876596747,0.000508669155840551,0.00030374771645133,0.00160297283870672,0.000866452509590765,0.000421529413277366
