Model,Covariance Type,Window Index,Mean Return,Forecasted Std
ERC,Historical,23,0.00830352781403695,0.009577437893906244
MVP,GARCH,23,0.00725172121600606,0.013167476370107054
HRP,GARCH,23,0.00806290189123738,0.015032357408909945
ERC,GARCH,23,0.008504971826209823,0.01564284128673099
MVP,DCC,23,0.007280518343608261,0.013706338497400692
HRP,DCC,23,0.008224554282790151,0.016253907006343275
ERC,DCC,23,0.008473590693077586,0.016904243663025075
Naive,N/A,24,0.004054395047204634,0.010887853475088857
MVP,Historical,24,0.006010690117627711,0.0067054144733902955
HRP,Historical,24,0.004010105600996865,0.008552729547812893
ERC,Historical,24,0.0035853568548060814,0.009724551223443916
MVP,GARCH,24,0.004131804881071287,0.010201331678938295
HRP,GARCH,24,0.0034450850606346254,0.012661758113819727
ERC,GARCH,24,0.00348161465152199,0.014021564982506559
MVP,DCC,24,0.004357468545725408,0.010570810711253006
HRP,DCC,24,0.0031618740545486844,0.013648122623835548
ERC,DCC,24,0.00343337089599055,0.015149191125945882
Naive,N/A,25,0.0020994125419656782,0.01093721623398498
MVP,Historical,25,0.00046957884363721636,0.006762234381891092
HRP,Historical,25,0.0016821283890650137,0.00861052005190588
ERC,Historical,25,0.0020261387516469368,0.009772093116773415
MVP,GARCH,25,0.0014972758589145226,0.009782627061449299
HRP,GARCH,25,0.0018823412069711922,0.011898982660631705
ERC,GARCH,25,0.0020547205782253586,0.01306418200890813
MVP,DCC,25,0.0014826319071591283,0.010124770963686676
HRP,DCC,25,0.001959211464603328,0.012770292159315659
ERC,DCC,25,0.0020914032622223306,0.014024463193415526
Naive,N/A,26,-0.0035633594803188796,0.01098934074556746
MVP,Historical,26,-0.0004975904139161772,0.0067691445665681105
HRP,Historical,26,-0.002204226584067452,0.008636494804398792
ERC,Historical,26,-0.0030269423739010494,0.009812557019555898
MVP,GARCH,26,-0.0002888071727013641,0.007211607786333464
HRP,GARCH,26,-0.001930111497955579,0.009504763867258004
ERC,GARCH,26,-0.0029129954883086394,0.011328479852660025
MVP,DCC,26,-0.00017605257242108831,0.007345680694858821
HRP,DCC,26,-0.0019188412206398678,0.010147113798109824
ERC,DCC,26,-0.0028878304368413978,0.012140117836713163
Naive,N/A,27,-0.0030193757007906537,0.01100264882579852
MVP,Historical,27,-0.0017546381180347111,0.0067747857074585945
HRP,Historical,27,-0.0026633558998309685,0.008648517604131331
ERC,Historical,27,-0.0031636092863091187,0.009825815592944242
MVP,GARCH,27,-0.0014811378874367974,0.006219838218927862
HRP,GARCH,27,-0.0024361548243733494,0.008290116525588288
ERC,GARCH,27,-0.0030985658099940035,0.010016589004384867
MVP,DCC,27,-0.001310019983277,0.006334362811253945
HRP,DCC,27,-0.0026395618342873036,0.008813929317538008
ERC,DCC,27,-0.003057354610862325,0.010679546976384487
Naive,N/A,28,-0.0007821638176010781,0.011086472755759382
MVP,Historical,28,-7.033046345202159e-05,0.006831549680797284
HRP,Historical,28,-0.000569467142576245,0.00873410948906069
ERC,Historical,28,-0.0007750937830474081,0.009909247230205719
MVP,GARCH,28,-0.0008933943602046229,0.007849738145573847
HRP,GARCH,28,-0.0007771810841571,0.009773214265759026
ERC,GARCH,28,-0.0008733675735445775,0.010978645705142452
MVP,DCC,28,-0.0007743139977295372,0.0081492006883197
HRP,DCC,28,-0.0008195746376594241,0.010489609292408216
ERC,DCC,28,-0.000865191188311165,0.011892849454874867
Naive,N/A,29,-0.008193579052277107,0.011082378234801656
MVP,Historical,29,-0.007150311811796081,0.006831748368391421
HRP,Historical,29,-0.0074468402883577645,0.008711290709262198
ERC,Historical,29,-0.00788452053328735,0.009906735618145137
MVP,GARCH,29,-0.007126482456060385,0.007068238764517027
HRP,GARCH,29,-0.007348966474483479,0.00899839831450349
ERC,GARCH,29,-0.007847521401328866,0.010312875444903703
MVP,DCC,29,-0.007065466197487877,0.007250525793148603
HRP,DCC,29,-0.007406256797076578,0.009723325924789965
ERC,DCC,29,-0.007787035488901452,0.0111049604270553
Naive,N/A,30,-0.0034828571406358283,0.011085386516972467
MVP,Historical,30,-0.008153330268408433,0.006913243564917776
HRP,Historical,30,-0.004929209628043106,0.008795491285288394
ERC,Historical,30,-0.0036366935535982288,0.009935362873365319
MVP,GARCH,30,-0.005142724940202562,0.009052789351636132
HRP,GARCH,30,-0.004221860786995746,0.010451457779050911
ERC,GARCH,30,-0.0035542205847563374,0.011006057007721969
MVP,DCC,30,-0.00527769195148983,0.009471477493308978
HRP,DCC,30,-0.0036934336828979737,0.011324998237651495
ERC,DCC,30,-0.0035790696033439007,0.011883059055629383
Naive,N/A,31,-0.006721003772700328,0.01119085381696529
MVP,Historical,31,-0.004959003018177081,0.006954612965195805
HRP,Historical,31,-0.0056220448405819076,0.008851376700367944
ERC,Historical,31,-0.005927176447064543,0.010037280237788765
MVP,GARCH,31,-0.004221686169049804,0.009511689061951073
HRP,GARCH,31,-0.005649248516077109,0.011426099305729803
ERC,GARCH,31,-0.006027447546966575,0.01229881420422092
MVP,DCC,31,-0.004467953192585447,0.009819300691075283
HRP,DCC,31,-0.005659072849889618,0.012236608174352407
ERC,DCC,31,-0.0060957370076550246,0.013216888351395121
Naive,N/A,32,0.004742878432950394,0.011306998620554698
MVP,Historical,32,-0.0018834405660404078,0.007015297805354978
HRP,Historical,32,0.0018917712953151118,0.008957776361080964
ERC,Historical,32,0.0034623151186623075,0.010158126997031964
MVP,GARCH,32,-0.0003810837931191857,0.00930128749335885
HRP,GARCH,32,0.0025497992158144667,0.011576781627542148
ERC,GARCH,32,0.003783330688075267,0.012767464291478368
MVP,DCC,32,-0.0005573444701294089,0.009598181660871436
HRP,DCC,32,0.0025335416002495873,0.012427434426945043
ERC,DCC,32,0.003731310290142612,0.01375347015610522
Naive,N/A,33,0.008779779656508701,0.011497744460213233
MVP,Historical,33,0.0033238190651734964,0.007370448031909106
HRP,Historical,33,0.006800158143375949,0.009439238584775472
ERC,Historical,33,0.0077285012045089346,0.010395720389474823
MVP,GARCH,33,0.003436945216517233,0.011099773790509197
HRP,GARCH,33,0.007135027858048769,0.014188593662954425
ERC,GARCH,33,0.007948763830301244,0.01534314358129823
MVP,DCC,33,0.003041520421519196,0.011634472628922048
HRP,DCC,33,0.0069134363659265384,0.014878286033531913
ERC,DCC,33,0.007969819322057956,0.016604881668573292
Naive,N/A,34,0.003734746730502306,0.011656881005245453
MVP,Historical,34,0.003280975737791806,0.007532654087651748
HRP,Historical,34,0.0031414686411707663,0.009541654273842688
ERC,Historical,34,0.0033038937161964043,0.010550788786086287
MVP,GARCH,34,0.0004861253363296869,0.00985257557281331
HRP,GARCH,34,0.0020913946566378317,0.012948232384890066
ERC,GARCH,34,0.0029067799805023347,0.014676601353752872
MVP,DCC,34,0.0005217528003315754,0.010075724613249765
HRP,DCC,34,0.001957645851422436,0.013619354121060951
ERC,DCC,34,0.0029119065610371583,0.015746115749010324
Naive,N/A,35,0.0004913425694371976,0.011721477687284553
MVP,Historical,35,-0.0016302933905603671,0.007578008973809691
HRP,Historical,35,-0.0003413491544725696,0.009606572005089999
ERC,Historical,35,0.000232474879204584,0.010618700198891187
MVP,GARCH,35,-0.003394922896283758,0.00940616060522648
HRP,GARCH,35,-0.0009410578778676154,0.011788835858149839
ERC,GARCH,35,-1.7475629268055846e-05,0.013087652109464295
MVP,DCC,35,-0.0036763510672600036,0.009673008413447964
HRP,DCC,35,-0.0009521674529921296,0.012361043871500253
ERC,DCC,35,-5.135566328793653e-05,0.013943900656494155
Naive,N/A,36,-0.0011962966508764258,0.011739343430083407
MVP,Historical,36,0.00016891527398711707,0.007590847319663756
HRP,Historical,36,-0.0008797672848558175,0.009623879240922926
ERC,Historical,36,-0.001251134650035775,0.010632087389878876
MVP,GARCH,36,-0.0006585764748694382,0.008571559896956696
HRP,GARCH,36,-0.0009161028668335264,0.010678386105037855
ERC,GARCH,36,-0.001214613616605033,0.011752043495454147
MVP,DCC,36,-0.0006244332666342035,0.008726433904790602
HRP,DCC,36,-0.0007973150591458593,0.01110186200658512
ERC,DCC,36,-0.001203500219131445,0.012387555736495996
Naive,N/A,37,0.0035143405989333937,0.011774305509732966
MVP,Historical,37,0.0006524042833954555,0.007605200596538871
HRP,Historical,37,0.0022814547956498104,0.009658918705629837
ERC,Historical,37,0.0028418177680129084,0.010665166877261484
MVP,GARCH,37,0.000574330402973615,0.00840328625996888
HRP,GARCH,37,0.002273409669596628,0.010661865928924454
ERC,GARCH,37,0.0028460416712653125,0.011642724880323259
MVP,DCC,37,0.0005374472536398185,0.008491214197939792
HRP,DCC,37,0.002209193357409351,0.01107925837458017
ERC,DCC,37,0.0028240866730895402,0.012159242454371612
Naive,N/A,38,0.0033621971977162075,0.011804981163189067
MVP,Historical,38,0.0024749870899098926,0.007595792353744283
HRP,Historical,38,0.0027812501759541235,0.009684109901016905
ERC,Historical,38,0.0028374002286941295,0.010690317065184909
MVP,GARCH,38,0.0028305859877920175,0.008519631680977094
HRP,GARCH,38,0.002843514197718841,0.010470553366709483
ERC,GARCH,38,0.00287322292753881,0.011315480482739457
MVP,DCC,38,0.0029281626565044383,0.008533545187841359
HRP,DCC,38,0.002684454988269502,0.010827774707386969
ERC,DCC,38,0.002826532632672441,0.011722823741569481
Naive,N/A,39,0.0020394364784692793,0.011838967457066555
MVP,Historical,39,0.0007854385305257032,0.007601078818548116
HRP,Historical,39,0.0015513478612654116,0.00970233473203523
ERC,Historical,39,0.001689552906825127,0.01070991155688968
MVP,GARCH,39,0.00038240561910818686,0.007667182744465059
HRP,GARCH,39,0.0013162041037906053,0.009648454302043728
ERC,GARCH,39,0.0015574064721062893,0.010655915541792476
MVP,DCC,39,0.0003562869543041351,0.007611978020846614
HRP,DCC,39,0.0013476912673357924,0.00981694028555638
ERC,DCC,39,0.0014961301080372988,0.010908274988607898
Naive,N/A,40,-0.003532178336221309,0.011818995385401947
MVP,Historical,40,0.0005084746741319063,0.0075954570363514304
HRP,Historical,40,-0.0018486534352104172,0.009686092688914983
ERC,Historical,40,-0.002543865182368852,0.010681246381129581
MVP,GARCH,40,0.0003541504607480938,0.007540859303252478
HRP,GARCH,40,-0.001751899562802766,0.009383781207086184
ERC,GARCH,40,-0.00248357508755443,0.01025776585486941
MVP,DCC,40,0.0002723811307598952,0.007545849290866046
HRP,DCC,40,-0.001719113303338344,0.009643115490183379
ERC,DCC,40,-0.0024167128216644657,0.010617288609358608
Naive,N/A,41,-0.003993758526916848,0.011773195114833917
MVP,Historical,41,-0.002612167164895198,0.007558317323304686
HRP,Historical,41,-0.003033783852677238,0.009806611022995433
ERC,Historical,41,-0.003197923196180375,0.010631815491743869
MVP,GARCH,41,-0.0027115874833506482,0.006294598151563021
HRP,GARCH,41,-0.0029871526839013074,0.008416691636785342
ERC,GARCH,41,-0.003162633860949694,0.009381750203696365
MVP,DCC,41,-0.002359771999589825,0.006281869181782485
HRP,DCC,41,-0.0026288090084674322,0.008363421355445738
ERC,DCC,41,-0.0030813619644326877,0.009594992937592146
Naive,N/A,42,0.0011883316094611616,0.011795880912614864
MVP,Historical,42,-0.000766381691296633,0.007565909122588555
HRP,Historical,42,0.0010232201407537266,0.009822469816151215
ERC,Historical,42,0.0011793874991710552,0.010646008565064582
MVP,GARCH,42,0.00017814180781921835,0.006740357109654345
HRP,GARCH,42,0.0010702820033717294,0.00848217634348492
ERC,GARCH,42,0.0011882878438178024,0.009185675833079061
MVP,DCC,42,0.0003961202518282846,0.0066487363430492614
HRP,DCC,42,0.001089297851372051,0.008391932759686556
ERC,DCC,42,0.0012346738762907628,0.009334435363865558
Naive,N/A,43,-0.0035087287146429334,0.01180153493000642
MVP,Historical,43,-0.0011333240068514482,0.007574814422091546
