Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
ERC,GARCH,46,0.0041797326931960095,0.0092995858878895
ERC,Historical,46,0.0035290290859653043,0.007208680400441718
Naive,N/A,46,0.0037666335190545603,0.008026561568208286
HRP,GARCH,47,0.002062377165343529,0.007661558447823934
HRP,Historical,47,0.0019499905159772112,0.006691711660370403
MVP,GARCH,47,0.0011915742276675293,0.004506879099710323
MVP,Historical,47,0.002780038661427139,0.004215515234625121
ERC,GARCH,47,0.0024607601702600476,0.00891631179276288
ERC,Historical,47,0.002732678254193756,0.007210975720068704
Naive,N/A,47,0.003004981920588931,0.008027529982036031
HRP,GARCH,48,0.012387805257504988,0.007308438103223876
HRP,Historical,48,0.012177179864385473,0.0066774841303667894
MVP,GARCH,48,0.009810459591402464,0.0044645882906887546
MVP,Historical,48,0.005965810185850095,0.0042178120479385356
ERC,GARCH,48,0.012948123938910304,0.008522003697758051
ERC,Historical,48,0.012755792803819983,0.007213289460919098
Naive,N/A,48,0.014130540223607893,0.008028629039054807
HRP,GARCH,49,-0.0026634715645349133,0.007338029876847368
HRP,Historical,49,-0.0029133228525900045,0.006692109440312708
MVP,GARCH,49,0.00036828260436780563,0.004489309530275242
MVP,Historical,49,0.00013827323492357594,0.004230873351969905
ERC,GARCH,49,-0.0033926420816457873,0.008528922376687675
ERC,Historical,49,-0.0034364030205080737,0.0072430355406713715
Naive,N/A,49,-0.004643454168019054,0.008061352845828765
HRP,GARCH,50,0.0099262941399531,0.007048957979969032
HRP,Historical,50,0.010589253089323774,0.006696207436135991
MVP,GARCH,50,0.005570308428305933,0.004248805916970739
MVP,Historical,50,0.006628926902489248,0.0042245856379197555
ERC,GARCH,50,0.011282574939112475,0.008257993256820242
ERC,Historical,50,0.01128845401782452,0.007244722777541643
Naive,N/A,50,0.012373576735364582,0.008068583119251875
HRP,GARCH,51,-0.006579801313568317,0.006978428281878509
HRP,Historical,51,-0.007472590120961566,0.006725663880528278
MVP,GARCH,51,-0.003336539468837321,0.0041043057784178275
MVP,Historical,51,-0.003624297074664492,0.004228961487371694
ERC,GARCH,51,-0.008660104175895224,0.008181189706583623
ERC,Historical,51,-0.00894431175060731,0.007268556121378951
Naive,N/A,51,-0.010210396581587091,0.00808774207393757
HRP,GARCH,52,-0.018718802861883217,0.006900126939680536
HRP,Historical,52,-0.019937939702865275,0.006741901117878001
MVP,GARCH,52,-0.009551076914386381,0.004116151421905057
MVP,Historical,52,-0.009880881066455894,0.004247596415418022
