Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev
MVP,Historical,36,-0.11367774514205638,-0.0007551815661611827,0.006643178620560047
ERC,GARCH,36,0.1333820541279667,0.002851596981059363,0.021379165283536134
ERC,Historical,36,0.1396854165340442,0.0029550354944675042,0.02115493204508791
Naive,N/A,36,0.124094785247079,0.0028811046794045073,0.023216968172095887
HRP,GARCH,37,0.20411506570748106,0.0021587568210773584,0.0105761758133576
HRP,Historical,37,0.21679359604136775,0.002259327384053736,0.010421559609272867
MVP,GARCH,37,0.12193340562415575,0.0009659517022016556,0.00792196114967115
MVP,Historical,37,0.07903355528449697,0.0005450605003644367,0.0068965706832039035
ERC,GARCH,37,0.13267226557668788,0.0011677176779484341,0.008801520595677657
ERC,Historical,37,0.2353930887046546,0.005254811541276214,0.022323559158822094
Naive,N/A,37,0.17891677144254428,0.00205513435733088,0.011486538353900753
HRP,GARCH,38,0.1103590016473,0.0009655925437505313,0.008749558525696893
HRP,Historical,38,0.09501172484846424,0.0008243817105656398,0.00867663135134595
MVP,GARCH,38,0.12259610995283952,0.0007456669790522546,0.006082305379339516
MVP,Historical,38,0.040771411199556656,0.0002696863822122401,0.006614595234201082
ERC,GARCH,38,0.10454408258124201,0.000928983150762004,0.0088860424026399
ERC,Historical,38,0.09612128382272721,0.0008497511406678211,0.008840405650792018
Naive,N/A,38,0.11901056163044044,0.001101240901738065,0.009253303964380169
HRP,GARCH,39,0.0018922147159464674,1.0946388057948237e-05,0.005784960853384422
HRP,Historical,39,-0.017070621163215963,-9.895584832844439e-05,0.005796851056695931
MVP,GARCH,39,-0.03434526407963807,-0.0002965050394608044,0.008633069140865635
MVP,Historical,39,-0.1791089559538812,-0.001085308865098637,0.006059489651528611
ERC,GARCH,39,0.018406663122580453,0.00010603636536048388,0.00576075982128468
ERC,Historical,39,0.008791900264183868,5.095307011482676e-05,0.005795455883683937
Naive,N/A,39,0.05429572646440823,0.00032205511050484396,0.00593150016541277
HRP,GARCH,40,-0.09577171977020608,-0.001831337327398032,0.019121900826174244
HRP,Historical,40,-0.09991907398456243,-0.0019166345870631244,0.019181868992893647
MVP,GARCH,40,-0.17891699083029447,-0.003806644947875115,0.021276039409168113
MVP,Historical,40,-0.17638252780065394,-0.0036289198655996857,0.02057414592504911
ERC,GARCH,40,-0.11392277824061066,-0.0021930034569788578,0.019249912009230707
ERC,Historical,40,-0.11695927307025628,-0.0022570701690016637,0.019297915502996192
Naive,N/A,40,-0.12614636105027355,-0.0024862520861976514,0.01970926521777982
HRP,GARCH,41,0.18931968246289266,0.0023158326655326597,0.012232392508827345
HRP,Historical,41,0.19092094480577373,0.0023145657824022977,0.012123163253549443
MVP,GARCH,41,-0.049777707231680665,-0.000575219177481981,0.0115557587818325
MVP,Historical,41,-0.14929040362367654,-0.0020028380708706547,0.013415718775329353
ERC,GARCH,41,0.17958637359082574,0.0021954239642524,0.012224891679446187
ERC,Historical,41,0.18077985755691545,0.0022113491010208597,0.012232275934417385
Naive,N/A,41,0.17091866899195546,0.002254185849927844,0.013188646174362268
HRP,GARCH,42,-0.18998673368797644,-0.002465488260246904,0.012977160101589428
HRP,Historical,42,-0.1969742101086677,-0.002589031077569188,0.013144010457718595
MVP,GARCH,42,0.16770803985520288,0.0035026819708110692,0.020885593641397533
MVP,Historical,42,0.29679621025409936,0.007211196146614478,0.02429679321188326
ERC,GARCH,42,-0.20216993161406083,-0.002762414507722923,0.013663824712550867
ERC,Historical,42,-0.20689697994630413,-0.002844933860638203,0.013750485199815615
Naive,N/A,42,-0.24838437274571726,-0.0035355345390373633,0.014234126325881443
HRP,GARCH,43,0.21493387111722945,0.0041270912643551014,0.01920167930211474
HRP,Historical,43,0.2144041715711251,0.004093265920191986,0.019091353914418182
MVP,GARCH,43,0.2096697175411785,0.004412257946624373,0.02104384933774625
MVP,Historical,43,0.11173014719779492,0.002268273826425074,0.020301358973505768
ERC,GARCH,43,0.2109644826282074,0.004311972871793859,0.02043933091520932
