Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
Real ERC,OOS,10,0.14597113494345593,0.0016472533770079336,0.011284788445647296,0.0,0.0,-0.0007808067721606395,0.011284562552532693
Real MVP,OOS,10,10748.712520237978,0.002428060149168573,2.2589311460297717e-07,0.0007808067721606395,-0.011284562552532693,0.0,0.0
HRP,GARCH,11,-0.03554867262206947,-0.00043372210048657803,0.012200795936816864,-0.003378843005055367,0.003778225752417732,-0.0017908556794695575,0.012200293354770898
HRP,Historical,11,-0.045408568475748645,-0.0006528943580458573,0.014378219352908,-0.0035980152626146466,0.005955649168508869,-0.0020100279370288366,0.014377716770862034
MVP,GARCH,11,0.20175182564279667,0.001120856427354717,0.005555619751065861,-0.001824264477214072,-0.0028669504333332712,-0.00023627715162826226,0.0055551171690198945
MVP,Historical,11,0.14812737297911494,0.0008624584311187023,0.005822410900653074,-0.0020826624734500867,-0.0026001592837460582,-0.000494675147864277,0.0058219083186071075
ERC,GARCH,11,-0.06511222610739519,-0.001028642267070641,0.015797989541534226,-0.00397376317163943,0.0073754193571350934,-0.00238577584605362,0.01579748695948826
ERC,Historical,11,-0.0650652547730377,-0.001134631000257464,0.017438354836468606,-0.004079751904826253,0.009015784652069474,-0.0024917645792404434,0.01743785225442264
Naive,N/A,11,-0.06436239026619078,-0.0013510892506231665,0.020991906065565846,-0.004296210155191956,0.012569335881166713,-0.0027082228296061456,0.02099140348351988
Real ERC,OOS,11,0.3496700935806918,0.002945120904568789,0.008422570184399132,0.0,0.0,0.0015879873255858097,0.008422067602353166
Real MVP,OOS,11,2700.322444614366,0.0013571335789829793,5.025820459662891e-07,-0.0015879873255858097,-0.008422067602353166,0.0,0.0
HRP,GARCH,12,0.1796975886280586,0.0022380173255956647,0.012454353687672207,-0.0006068486863889098,-0.0008143341161772726,-0.0026685254300932615,0.012453936648351963
HRP,Historical,12,0.2028200805990464,0.0026034813064398513,0.012836408006299215,-0.0002413847055447232,-0.00043227979755026437,-0.002303061449249075,0.012835990966978971
