Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
ERC,Historical,14,-0.3367726129538598,-0.002658424181680156,0.007893825327311811,0.002044845903736782,-0.005507668216737444,-0.0030027280306843492,0.007892728920385743
Naive,N/A,14,-0.35302518832937985,-0.003202374416640871,0.009071234921778411,0.001500895668776067,-0.004330258622270844,-0.0035466782656450643,0.009070138514852343
Real ERC,OOS,14,-0.3509511883849214,-0.004703270085416938,0.013401493544049256,0.0,0.0,-0.005047573934421131,0.013400397137123187
Real MVP,OOS,14,314.02925393657307,0.000344303849004193,1.0964069260685336e-06,0.005047573934421131,-0.013400397137123187,0.0,0.0
HRP,GARCH,15,-0.03476954557547163,-0.0003275486091726057,0.00942056054375576,-0.0008852148975817657,-0.0014020519859700657,-0.0004809004024844066,0.009419625544476474
HRP,Historical,15,-0.024051957286592332,-0.0002459690441647972,0.010226570803944995,-0.0008036353325739572,-0.0005960417257808315,-0.00039932083747659815,0.010225635804665708
MVP,GARCH,15,-0.3721834291360633,-0.0020680684138635512,0.0055565838024118595,-0.002625734702272711,-0.005266028727313967,-0.002221420207175352,0.0055556488031325724
MVP,Historical,15,-0.3387582005951283,-0.002273022097200212,0.0067098658961081414,-0.0028306883856093717,-0.004112746633617685,-0.0024263738905120126,0.006708930896828854
ERC,GARCH,15,0.02927099939141035,0.0003162653421099948,0.010804733308928414,-0.00024140094629916523,-1.7879220797411763e-05,0.00016291354879819386,0.010803798309649127
ERC,Historical,15,0.03166491129603639,0.00035654341240178917,0.011259889821526802,-0.00020112287600737084,0.00043727729180097555,0.00020319161908998826,0.011258954822247515
Naive,N/A,15,0.04852588601994565,0.0005982198688178966,0.012327850512034126,4.055358040873662e-05,0.0015052379823083002,0.0004448680755060957,0.01232691551275484
Real ERC,OOS,15,0.051527880803036344,0.00055766628840916,0.010822612529725826,0.0,0.0,0.00040431449509735907,0.01082167753044654
Real MVP,OOS,15,164.01273959132607,0.0001533517933118009,9.349992792871502e-07,-0.00040431449509735907,-0.01082167753044654,0.0,0.0
HRP,GARCH,16,0.03786569394766704,0.0003275773301509449,0.008651032002838215,-0.0011685690850891633,-0.0008130218381377074,0.0003061758822186361,0.008650120861598875
HRP,Historical,16,0.11653150513219468,0.0010685360325324706,0.009169503400134676,-0.00042761038270763764,-0.0002945504408412465,0.0010471345846001618,0.009168592258895335
MVP,GARCH,16,-0.30028581635349433,-0.002258620336223356,0.0075215684964771165,-0.003754766751463464,-0.001942485344498806,-0.0022800217841556646,0.007520657355237777
MVP,Historical,16,-0.16079480933911486,-0.001123179204595674,0.006985170785127142,-0.002619325619835782,-0.0024788830558487808,-0.0011445806525279827,0.006984259643887802
ERC,GARCH,16,0.0912572842842254,0.0009221377736238401,0.010104812792278539,-0.0005740086416162681,0.0006407589513026165,0.0009007363256915313,0.010103901651039198
ERC,Historical,16,0.12940797767298692,0.0013347548825068064,0.010314316833539604,-0.0001613915327333018,0.0008502629925636815,0.0013133534345744977,0.010313405692300263
Naive,N/A,16,0.1859186727707413,0.00209484774499806,0.011267548943732207,0.0005987013297579519,0.0018034951027562848,0.0020734462970657514,0.011266637802492867
Real ERC,OOS,16,0.15808726792765448,0.0014961464152401082,0.009464053840975923,0.0,0.0,0.0014747449673077995,0.009463142699736582
Real MVP,OOS,16,23.488617360583977,2.1401447932308806e-05,9.111412393401398e-07,-0.0014747449673077995,-0.009463142699736582,0.0,0.0
HRP,GARCH,17,-0.3675566905794478,-0.006262606696455586,0.017038478299994154,0.0025549492461114792,-0.002888210148735866,0.0076907750604822845,0.017038040174995016
HRP,Historical,17,-0.3804122992403844,-0.00695248084288592,0.0182761726073757,0.0018650750996811452,-0.0016505158413543213,0.0070009009140519505,0.01827573448237656
MVP,GARCH,17,-0.013344704363552997,-0.00013162220259054636,0.00986325354273358,0.00868593373997652,-0.01006343490599644,0.013821759554347324,0.009862815417734441
MVP,Historical,17,-0.05709522636002856,-0.0005301668633670528,0.009285660065938787,0.008287389079200012,-0.010641028382791233,0.013423214893570817,0.009285221940939649
ERC,GARCH,17,-0.41435947986075733,-0.008291331169936588,0.02000999511999299,0.0005262247726304774,8.330667126297056e-05,0.005662050587001283,0.020009556994993852
