Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
ERC,DCC,13,0.0022216478293309305,0.0076906011697154865,0.017702760715433787
Naive,N/A,14,0.00012755563352809807,0.009507730341456497,
MVP,Historical,14,-0.0014661260564390987,0.007180418010080983,
HRP,Historical,14,-0.00022635460887485693,0.008434915757053494,
ERC,Historical,14,4.428411549417532e-06,0.008903624728990001,0.019460389389321014
MVP,GARCH,14,-0.0007221486907949659,0.005277415488093807,
HRP,GARCH,14,-0.00017877448281133912,0.0061450119787006445,
ERC,GARCH,14,2.0420542276355923e-06,0.0064051339598545495,0.011011283919495253
MVP,DCC,14,-0.0009550758936656467,0.0056128537411652656,
HRP,DCC,14,-0.00020884067187177947,0.006569850469732766,
ERC,DCC,14,-1.3981811930896536e-05,0.006844909215327844,0.010649432049055099
Naive,N/A,15,-0.007211873374165167,0.009488207324996308,
MVP,Historical,15,-0.006701597332075438,0.007175327436768189,
HRP,Historical,15,-0.0070001550882784706,0.008420109201896194,
ERC,Historical,15,-0.00707835997320636,0.008884848913443938,0.02018166093462494
MVP,GARCH,15,-0.004037008199369319,0.005670038552137465,
HRP,GARCH,15,-0.006282042605792326,0.006783247473949343,
ERC,GARCH,15,-0.0067468275810096175,0.007088889594078057,0.009661536910807763
MVP,DCC,15,-0.0035818866496905464,0.006048632861485368,
HRP,DCC,15,-0.006227242979416825,0.0072593370121165545,
ERC,DCC,15,-0.006787631697250907,0.007643737230180063,0.008080904265955558
Naive,N/A,16,-0.0005534245852124031,0.009542061208327271,
MVP,Historical,16,0.0009425796443065515,0.0072413538972996025,
HRP,Historical,16,-8.49872030621257e-05,0.00847006693035715,
ERC,Historical,16,-0.0002782236525072812,0.008949824653121856,0.01668217164307293
MVP,GARCH,16,0.0005807730645453257,0.007617336724481933,
HRP,GARCH,16,-0.00034276724755957224,0.00921748261077775,
ERC,GARCH,16,-0.0004469134040722245,0.009711616658309514,0.011132443536537471
MVP,DCC,16,0.0008525270224104764,0.00822710084062433,
HRP,DCC,16,-0.0003633998401831429,0.010080784622727513,
ERC,DCC,16,-0.0004893395236963749,0.010698436157995365,0.009672333292981358
Naive,N/A,17,0.0027633533821061706,0.009595294250641036,
MVP,Historical,17,0.0014509403685377786,0.007313051356235778,
HRP,Historical,17,0.0022574904440808784,0.008534959131253173,
ERC,Historical,17,0.0024809138619052763,0.009009790407807569,0.014796076759555172
MVP,GARCH,17,0.00192764534724581,0.008631868167316535,
HRP,GARCH,17,0.002533929484217978,0.010342291410144224,
