Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,GARCH,22,-0.011671604972752063,0.00586682857339552
HRP,Historical,22,-0.012436610485748692,0.0059695986502692425
MVP,GARCH,22,-0.010432251610237708,0.004863823684146058
MVP,Historical,22,-0.012289542954126912,0.004929913818609815
ERC,GARCH,22,-0.012436813637258222,0.006181231413420432
ERC,Historical,22,-0.012871840898252346,0.006357077808975854
Naive,N/A,22,-0.012721266081656538,0.0068455831737067345
HRP,GARCH,23,0.005286116716107542,0.005803970418599543
HRP,Historical,23,0.0053774782740790205,0.0060261598963404946
MVP,GARCH,23,0.007193182674825915,0.004898891921589875
MVP,Historical,23,0.0077952840100616915,0.004980261238510736
ERC,GARCH,23,0.006062372003076179,0.006094041317565395
ERC,Historical,23,0.0060855921314374355,0.006411213483544627
Naive,N/A,23,0.006223273438065377,0.006886407821348224
HRP,GARCH,24,-0.01128349085097149,0.006093161660464477
HRP,Historical,24,-0.011942113100478014,0.006039031259658763
MVP,GARCH,24,-0.010571227984790595,0.005010856115292919
MVP,Historical,24,-0.012189296257302099,0.005000560629850753
ERC,GARCH,24,-0.01120763670430306,0.006495566071932955
ERC,Historical,24,-0.011596531192374407,0.006421713922408081
Naive,N/A,24,-0.011244987380108679,0.006895154344061908
HRP,GARCH,25,-0.004315051598399193,0.00612976876728637
HRP,Historical,25,-0.003869250469980594,0.006083020910691851
MVP,GARCH,25,-0.0035533362878198676,0.005190559553846212
MVP,Historical,25,-0.0022117417886329217,0.005050183294017678
ERC,GARCH,25,-0.004621382678831837,0.006418482961010386
ERC,Historical,25,-0.004350137622598087,0.006453475329413772
Naive,N/A,25,-0.004989026718477646,0.006908826577903681
HRP,GARCH,26,-0.0021907946582914277,0.006163652780137051
HRP,Historical,26,-0.0018817744861900727,0.006075814007427052
MVP,GARCH,26,0.0030738042924946247,0.005225300505645159
MVP,Historical,26,0.0026047770138028802,0.005009462810274716
ERC,GARCH,26,-0.0038006181319631296,0.006486681435260401
ERC,Historical,26,-0.0035747811334457054,0.006457709463082985
Naive,N/A,26,-0.004914278719058779,0.0069177506714472765
HRP,GARCH,27,0.009649367491159161,0.006065457108735305
HRP,Historical,27,0.009688435327774012,0.006069757205244227
MVP,GARCH,27,0.008580545032173816,0.005144846857506244
MVP,Historical,27,0.009202411197474492,0.005010866928237258
ERC,GARCH,27,0.010363815729990757,0.0063458907249102055
ERC,Historical,27,0.010349672651483309,0.006448292881961801
Naive,N/A,27,0.01078998627800562,0.006906167679012616
HRP,GARCH,28,0.0004374230015063756,0.005983748851955249
HRP,Historical,28,0.00035414812667618683,0.006100134838096237
MVP,GARCH,28,0.001588612570113553,0.0051010136540490855
MVP,Historical,28,0.0010032338064881793,0.005036941323952092
ERC,GARCH,28,0.0002085033195981315,0.006251851054106315
ERC,Historical,28,0.0001597829228901299,0.006478505373443193
Naive,N/A,28,0.00014358788485987345,0.006935521593045565
HRP,GARCH,29,-0.0011486899071711557,0.0060322215088041975
HRP,Historical,29,-0.0010380928939442314,0.006094760893160218
MVP,GARCH,29,-0.001034069105474217,0.005138842692798265
MVP,Historical,29,-0.0005161479179629252,0.005024092336770325
ERC,GARCH,29,-0.0007367928740933714,0.006311194576750027
ERC,Historical,29,-0.0006634004798962634,0.006475463054338325
Naive,N/A,29,-0.0006511330013801511,0.00693429728442671
HRP,GARCH,30,0.010876314714842492,0.005777249375926045
HRP,Historical,30,0.01086692246113753,0.005943650285523431
MVP,GARCH,30,0.008607046774998132,0.005042640413851756
MVP,Historical,30,0.007764261696144996,0.005000145105303289
ERC,GARCH,30,0.011269471134225634,0.0061208121789482406
ERC,Historical,30,0.011307112560183116,0.006433144964072945
Naive,N/A,30,0.011683165433126655,0.0068894755419015245
HRP,GARCH,31,0.001430700380545722,0.005727703572848991
HRP,Historical,31,0.0013398239410207075,0.005928310390156787
MVP,GARCH,31,0.0006825353104865908,0.004994314834280955
MVP,Historical,31,0.00023263066044960419,0.004996509136635147
ERC,GARCH,31,0.0017605803232349638,0.0060724787283670135
ERC,Historical,31,0.0017385193519733914,0.006405971631640168
Naive,N/A,31,0.001885711401406913,0.006845315452836317
HRP,GARCH,32,0.0,0.005908080894780604
HRP,Historical,32,0.0,0.0059147566738054795
MVP,GARCH,32,0.0,0.0049947221536844
MVP,Historical,32,0.0,0.004988283854534209
ERC,GARCH,32,0.0,0.0063116396203823115
ERC,Historical,32,0.0,0.006390228333959524
Naive,N/A,32,0.0,0.006828818565786395
HRP,GARCH,33,0.003214915565100026,0.005813476304557168
HRP,Historical,33,0.0027979910239118427,0.00602326834005555
MVP,GARCH,33,0.0022917747165692192,0.004883883725741781
MVP,Historical,33,0.000806295548734869,0.0049878878482889286
ERC,GARCH,33,0.0030793646577757417,0.00611737576514773
ERC,Historical,33,0.00288278516570336,0.006389095614052975
Naive,N/A,33,0.0032334547759293175,0.006823466813561934
HRP,GARCH,34,0.0035894101672515858,0.005671785377001794
HRP,Historical,34,0.0033878815073609394,0.00601892047762347
MVP,GARCH,34,0.0018995294120559931,0.00480227813874289
MVP,Historical,34,0.0018364936480938848,0.004977594084837373
ERC,GARCH,34,0.004462967216723697,0.005967387724177926
ERC,Historical,34,0.004348587543500596,0.006389318094807915
Naive,N/A,34,0.005294035636829959,0.006824887214951223
HRP,GARCH,35,0.0006819685219855581,0.005626150732189698
HRP,Historical,35,0.00039782684386265873,0.005809029112466675
MVP,GARCH,35,0.0010404704344477605,0.004781847167603565
MVP,Historical,35,0.0005656812589357874,0.004935093866860064
ERC,GARCH,35,0.0008618030817467364,0.006046036879881285
ERC,Historical,35,0.0006996816748831542,0.006276447951380885
Naive,N/A,35,0.000880029830424546,0.00670228185167116
HRP,GARCH,36,-0.013761346252443058,0.005421169532762301
HRP,Historical,36,-0.0136943047157441,0.005793185547628354
MVP,GARCH,36,-0.011892820834333968,0.0046749813046783936
MVP,Historical,36,-0.011443627880821034,0.0049350713303244025
ERC,GARCH,36,-0.014155189768642365,0.0058151988241925846
ERC,Historical,36,-0.014123536847108585,0.006237325496784957
Naive,N/A,36,-0.014502291701055908,0.006625845042219485
HRP,GARCH,37,0.006149178450566278,0.005462678827867892
