Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
Naive,N/A,6,-0.00047597884397481414,0.009940418175209232
HRP,GARCH,7,-0.0014557294131178112,0.0067017636893953215
HRP,Historical,7,-0.001325717687524631,0.007123795058622183
MVP,GARCH,7,-0.00029297962265133773,0.005396148284980938
MVP,Historical,7,-3.511484721257273e-05,0.005659889174638374
ERC,GARCH,7,-0.002225476891636809,0.007864322552160194
ERC,Historical,7,-0.0022041599326768488,0.008560278385025637
Naive,N/A,7,-0.0025226658655316597,0.009948659189188356
HRP,GARCH,8,-0.0004898433961816541,0.006711829920340811
HRP,Historical,8,-0.000569301089937328,0.0071497476440782245
MVP,GARCH,8,-0.00029406011359070055,0.0054155463485205
MVP,Historical,8,-0.0004542584054206744,0.005668529822600622
ERC,GARCH,8,-0.000735823964464586,0.007839765557966212
ERC,Historical,8,-0.0007646564822119997,0.008585205103956625
Naive,N/A,8,-0.001070940816080316,0.009973513582912883
HRP,GARCH,9,0.0004353695296943589,0.006604582786399764
HRP,Historical,9,0.00027484173184370126,0.007131308249027354
MVP,GARCH,9,0.00016441875307050572,0.005351025915960044
MVP,Historical,9,-6.099156805558425e-05,0.0056414621386572505
ERC,GARCH,9,0.0007449986287723608,0.007687633086311695
ERC,Historical,9,0.0006272209203833879,0.008580171728267121
Naive,N/A,9,0.0012937971653861873,0.009989408108957447
HRP,GARCH,10,-0.0001751418916198304,0.006933885838350684
HRP,Historical,10,-0.00013254489935173326,0.007198470768694438
MVP,GARCH,10,0.0003693101768266591,0.005394571781535828
MVP,Historical,10,0.0004841687634020688,0.005676399763309581
ERC,GARCH,10,-0.00034369127411770507,0.008326206449296866
ERC,Historical,10,-0.0003290388132360187,0.0086544766836293
Naive,N/A,10,-0.00033973913659916534,0.010051149883311333
HRP,GARCH,11,0.0018020608167644068,0.006737986632268062
HRP,Historical,11,0.0018043410831143543,0.007182499985309721
MVP,GARCH,11,0.0030992513945874377,0.005279569323160554
MVP,Historical,11,0.0027878602600356723,0.0056581915287263924
ERC,GARCH,11,0.0011173814619421505,0.007848679014404072
ERC,Historical,11,0.0011112411703826694,0.008632983364957563
Naive,N/A,11,0.0003109185178881431,0.010024336106583836
HRP,GARCH,12,-0.0006999962736334264,0.006382048749604448
HRP,Historical,12,-0.0010322158596092067,0.007143902457613009
MVP,GARCH,12,-0.0004542947253567261,0.00508584798951081
MVP,Historical,12,-0.001248290226253816,0.0056430925527514685
ERC,GARCH,12,-0.0007846785993312888,0.0073508073079602
ERC,Historical,12,-0.0009336844873079359,0.008589185626031988
Naive,N/A,12,-0.0013789591394552526,0.009987167458921817
HRP,GARCH,13,-0.00935136649351235,0.006238097100289528
HRP,Historical,13,-0.009341932035255626,0.007100935512382087
MVP,GARCH,13,-0.005476720458142627,0.005012185978284299
MVP,Historical,13,-0.006006058957085548,0.005613115745685774
ERC,GARCH,13,-0.010488877637542086,0.007123120563521893
ERC,Historical,13,-0.010660446497645798,0.008540791768745828
Naive,N/A,13,-0.012131088961211872,0.009965232468551292
HRP,GARCH,14,0.0015542903368999344,0.007026699172155263
HRP,Historical,14,0.0021944988252507514,0.007520520200691723
MVP,GARCH,14,-0.0010289396615985739,0.005162296711742988
MVP,Historical,14,-0.00041912604600231033,0.005780596859784471
ERC,GARCH,14,0.0027925116213843503,0.00869772662847032
ERC,Historical,14,0.0031786091574680536,0.008836161119749242
Naive,N/A,14,0.004138582986823032,0.010282591301324528
HRP,GARCH,15,0.0003721870341743745,0.007776284653422308
HRP,Historical,15,0.0006345908628702176,0.007548038466124998
MVP,GARCH,15,0.0002792271078798828,0.006027323588706445
MVP,Historical,15,0.0005640945540913778,0.0059412980705235
